"","x"
"LOC701831",-79.1375798625309
"RPLP0",-78.517705455114
"LOC711964",-78.5126427815164
"RPS16",-78.3149782687412
"ACTG1",-78.241777920615
"LOC708858",-77.697917709662
"LOC710110",-77.6565412407239
"RPS11",-77.6355958561099
"LOC697734",-77.6125146541166
"EEF1A1",-77.5940464686302
"LOC693576",-77.5896843510181
"ACTB",-77.5816960417365
"SPDYA",-77.5207228942129
"LOC702001",-77.4105536981648
"RALGAPA1",-77.3541661432606
"RPL35A",-77.3367875335379
"LOC702809",-77.3058028291194
"RPL32",-76.8281100676817
"LOC693584",-76.8266574967383
"LOC700955",-76.3923952341652
"LOC704558",-76.2105107713308
"RPS3",-76.0195111534209
"LIN7A",-75.9782322135396
"LOC711011",-75.8871347725811
"MZT2B",-75.8230315031226
"SLC25A6",-75.614308987349
"ZNF732",-75.5951432020177
"LOC715270",-75.3784709312803
"LOC706459",-75.236827554724
"RPLP1",-75.1685869442238
"GAPDH",-75.1322472278842
"LOC693820",-75.1007249893333
"RPS28",-75.0832287183309
"EIF4A2",-74.8717203755315
"LOC698099",-74.6593644895269
"TOMM7",-74.6141201066662
"LOC705400",-74.5209326127586
"LOC700257",-74.4979310237199
"RPSA",-74.2711144480518
"LOC693767",-74.2124825228617
"RPL27",-74.1337148725459
"LOC694736",-74.104170019141
"LOC696636",-74.0009571259021
"RPL17",-73.9710900162883
"LOC698713",-73.9627108479345
"LOC707154",-73.8744362276701
"MATR3",-73.8236754881499
"HSP90AB1",-73.6214429360514
"RPS6",-73.6154799614748
"GNAS",-73.6137096010081
"TMSB10",-73.5010107478787
"JUND",-73.4865600154401
"RAB8B",-73.4857722398793
"RPS21",-73.4405792280441
"LOC704104",-73.3098902587736
"CERK",-73.1327124365189
"RPL23",-73.1090424330254
"LOC696935",-73.0178994861647
"ATP1B1",-73.0051683125797
"LOC706414",-72.945190070196
"SEPW1",-72.8724060982868
"UBA7",-72.8505986858521
"XRCC6",-72.8288989642906
"OAZ1",-72.6766524569926
"BTBD3",-72.6530273972058
"LOC721815",-72.5608586350968
"RPS7",-72.5158946520447
"LOC701527",-72.5060278663322
"LOC694093",-72.4553094505684
"LOC711870",-72.4498777766477
"LOC696956",-72.3895664374233
"LOC717755",-72.3485847649805
"CCNI",-72.3394104847764
"LOC700114",-72.2944491547428
"LOC697499",-72.2757446840068
"LOC706896",-72.2641540129483
"KIF5C",-72.2484365126809
"LOC696658",-72.2456563159169
"LHFP",-72.2354349196623
"LOC694712",-72.2159908632439
"HSPA8",-72.0943913857579
"LOC694799",-72.0386666127734
"CPEB1",-72.011287083752
"LOC697620",-71.9669944072869
"CNP",-71.9342248131918
"IDS",-71.9285264959262
"SNRPN",-71.871085065819
"LOC697476",-71.8592682967823
"LOC699867",-71.8443608579243
"LOC703120",-71.8199067408519
"LOC694967",-71.7826360411392
"LOC693460",-71.7346982812678
"LOC696348",-71.6626253296818
"ZFAND5",-71.6305182544224
"LOC703774",-71.6293958589946
"ATP5B",-71.6058074205774
"MFAP5",-71.6035344002026
"RPLP2",-71.4638850655726
"ENO1",-71.4570319560453
"SPTBN1",-71.3195129720083
